SECTION,QUERY_TERM,DESCRIPTION,CATEGORICAL_TYPES,INTERACTOME_GRANULAR_TYPES,SIGNATURE_NAMES,TOTAL_TYPE_COUNT,CANONICAL_NAME,ORIGINAL_NAME,COMPARTMENT,QUERY_TERMS_THAT_INCLUDE_THIS,NOTES,INTERACTOME_ORIGINAL_NAME,CANONICAL_PARENT,FUNCTIONAL_STATE,SOURCE_DATASETS,CONFIDENCE,SIGNATURE_NAME
CANONICAL_TYPES,,,,,,,CD8_T_EXHAUSTED,CD8 T EXHAUSTED,immune_fine,"CD8 T cells, T cells, exhausted T cells",,,,,,,
CANONICAL_TYPES,,,,,,,CD8_T_GENERAL,CD8 T GENERAL,immune_fine,"CD8 T cells, T cells",,,,,,,
CANONICAL_TYPES,,,,,,,CD8_TMEMORY,CD8 TMEMORY,immune_fine,"CD8 T cells, T cells",,,,,,,
CANONICAL_TYPES,,,,,,,DENDRITIC_CELLS,DENDRITIC CELLS,immune_fine,Dendritic cells,,,,,,,
CANONICAL_TYPES,,,,,,,MAIT_CELLS,MAIT CELLS,immune_fine,T cells,,,,,,,
CANONICAL_TYPES,,,,,,,MDC,MDC,immune_fine,Dendritic cells,,,,,,,
CANONICAL_TYPES,,,,,,,MONOCYTE_CLASSICAL,MONOCYTE CLASSICAL,immune_fine,Monocytes,,,,,,,
CANONICAL_TYPES,,,,,,,MONOCYTE_NON_CLASSICAL,MONOCYTE NON CLASSICAL,immune_fine,Monocytes,,,,,,,
CANONICAL_TYPES,,,,,,,NK_CELLS,NK CELLS,immune_fine,NK cells,,,,,,,
CANONICAL_TYPES,,,,,,,PDC,PDC,immune_fine,Dendritic cells,,,,,,,
CANONICAL_TYPES,,,,,,,T_GAMMA_DELTA,T GAMMA DELTA,immune_fine,T cells,,,,,,,
CANONICAL_TYPES,,,,,,,TAM,TAM,immune_fine,Macrophages,,,,,,,
CANONICAL_TYPES,,,,,,,B_CELLS,B CELLS,immune_coarse,B cells,,,,,,,
CANONICAL_TYPES,,,,,,,BASOPHILS,BASOPHILS,immune_coarse,NOT_IN_QUERY_TERMS,,,,,,,
CANONICAL_TYPES,,,,,,,CD4+_T_CELLS,CD4+ T CELLS,immune_coarse,"CD4 T cells, T cells",,,,,,,
CANONICAL_TYPES,,,,,,,CD8_T_GENERAL,CD8 T GENERAL,immune_coarse,"CD8 T cells, T cells",,,,,,,
CANONICAL_TYPES,,,,,,,DENDRITIC_CELLS,DENDRITIC CELLS,immune_coarse,Dendritic cells,,,,,,,
CANONICAL_TYPES,,,,,,,MONOCYTES,MONOCYTES,immune_coarse,Monocytes,,,,,,,
CANONICAL_TYPES,,,,,,,NK_CELLS,NK CELLS,immune_coarse,NK cells,,,,,,,
CANONICAL_TYPES,,,,,,,T_CELLS,T CELLS,immune_coarse,"CD4 T cells, T cells",,,,,,,
CANONICAL_TYPES,,,,,,,ACINAR,ACINAR,non_immune,NOT_IN_QUERY_TERMS,,,,,,,
CANONICAL_TYPES,,,,,,,ADIPOCYTES,ADIPOCYTES,non_immune,NOT_IN_QUERY_TERMS,,,,,,,
CANONICAL_TYPES,,,,,,,FIBROBLASTS,FIBROBLASTS,non_immune,Fibroblasts,,,,,,,
CANONICAL_TYPES,,,,,,,ICAF,ICAF,non_immune,Fibroblasts,,,,,,,
CANONICAL_TYPES,,,,,,,ISLET_ENDOCRINE,ISLET ENDOCRINE,non_immune,NOT_IN_QUERY_TERMS,,,,,,,
CANONICAL_TYPES,,,,,,,MAST,MAST,non_immune,Mast,,,,,,,
CANONICAL_TYPES,,,,,,,MYCAF,MYCAF,non_immune,Fibroblasts,,,,,,,
CANONICAL_TYPES,,,,,,,NEURAL,NEURAL,non_immune,NOT_IN_QUERY_TERMS,,,,,,,
CANONICAL_TYPES,,,,,,,NORMAL_DUCTAL,NORMAL DUCTAL,non_immune,NOT_IN_QUERY_TERMS,,,,,,,
CANONICAL_TYPES,,,,,,,PERICYTES_SMC,PERICYTES SMC,non_immune,NOT_IN_QUERY_TERMS,,,,,,,
CANONICAL_TYPES,,,,,,,SCHWANN,SCHWANN,non_immune,NOT_IN_QUERY_TERMS,,,,,,,
CANONICAL_TYPES,,,,,,,STELLATE,STELLATE,non_immune,NOT_IN_QUERY_TERMS,,,,,,,
CANONICAL_TYPES,,,,,,,TUMOR_CLASSICAL,TUMOR CLASSICAL,non_immune,Tumor,,,,,,,
CANONICAL_TYPES,,,,,,,TUMOR_EPITHELIAL,TUMOR EPITHELIAL,non_immune,Tumor,,,,,,,
INTERACTOME_TYPES,,,,,,,,,,B cells,,B,B_CELLS,,Bindeya,high,
INTERACTOME_TYPES,,,,,,,,,,B cells,,Bm,B_CELLS_NAIVE,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,B cells,,Bn,B_CELLS_NAIVE,,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",,CD4 Tn,CD4+_T_CELLS,naive,Newman,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+ADSL+ Tn,CD4+_T_CELLS,naive,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+AREG+ Tm,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+CAPG+ Tm,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+CAPG+CREM- Tm,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+CCL5+ Tm,CD4+_T_CELLS,,Zheng,high,
INTERACTOME_TYPES,,,,,,,,,,"CD4 T cells, T cells",GRANULAR PHENOTYPE - PRESERVED FOR INTERACTOME,CD4+CCR6+ Th17,CD4+_T_CELLS,,Zheng,high,
