,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[2306],-0.013,0.046,-0.099,0.072,0.0,0.001,16930.0,6582.0,1.0
mu[2307],0.213,0.045,0.13,0.297,0.0,0.001,15669.0,6625.0,1.0
mu[2308],0.147,0.045,0.059,0.228,0.0,0.001,15044.0,6245.0,1.0
mu[2309],0.085,0.051,-0.007,0.179,0.0,0.001,15984.0,6696.0,1.0
mu[2310],0.064,0.046,-0.021,0.149,0.0,0.001,16045.0,6411.0,1.0
mu[2311],-0.068,0.044,-0.147,0.021,0.0,0.0,15809.0,6447.0,1.0
mu[2312],-0.025,0.051,-0.126,0.066,0.0,0.001,15317.0,6006.0,1.0
mu[2313],-0.067,0.045,-0.152,0.019,0.0,0.001,15630.0,6210.0,1.0
mu[2314],-0.034,0.045,-0.117,0.05,0.0,0.001,14664.0,6117.0,1.0
mu[2315],0.149,0.046,0.067,0.237,0.0,0.001,16043.0,6089.0,1.0
mu[2316],-0.067,0.05,-0.157,0.031,0.0,0.001,15159.0,6717.0,1.0
mu[2317],-0.096,0.046,-0.184,-0.013,0.0,0.001,15091.0,5807.0,1.0
mu[2318],-0.121,0.046,-0.206,-0.036,0.0,0.001,15261.0,6084.0,1.0
mu[2319],0.112,0.045,0.025,0.194,0.0,0.001,15488.0,6079.0,1.0
mu[2320],0.066,0.046,-0.018,0.154,0.0,0.001,15733.0,6547.0,1.0
mu[2321],-0.02,0.045,-0.103,0.065,0.0,0.001,14702.0,6234.0,1.0
mu[2322],-0.065,0.045,-0.15,0.019,0.0,0.001,14159.0,5917.0,1.0
mu[2323],0.055,0.045,-0.028,0.138,0.0,0.0,13508.0,6398.0,1.0
mu[2324],-0.124,0.045,-0.209,-0.042,0.0,0.001,15075.0,6538.0,1.0
mu[2325],0.352,0.046,0.269,0.441,0.0,0.001,14886.0,6612.0,1.0
mu[2326],-0.025,0.046,-0.111,0.059,0.0,0.001,17118.0,6579.0,1.0
mu[2327],-0.057,0.051,-0.155,0.037,0.0,0.001,15291.0,6612.0,1.0
mu[2328],-0.139,0.045,-0.223,-0.056,0.0,0.001,13523.0,6165.0,1.0
mu[2329],-0.014,0.045,-0.097,0.073,0.0,0.001,15920.0,6554.0,1.0
mu[2330],-0.131,0.045,-0.214,-0.045,0.0,0.001,15207.0,6175.0,1.0
mu[2331],0.202,0.05,0.107,0.295,0.0,0.001,15408.0,6502.0,1.0
mu[2332],0.015,0.045,-0.07,0.099,0.0,0.001,15256.0,5709.0,1.0
mu[2333],-0.023,0.045,-0.11,0.058,0.0,0.001,15318.0,6256.0,1.0
mu[2334],-0.054,0.046,-0.138,0.033,0.0,0.001,16954.0,6934.0,1.0
mu[2335],-0.157,0.045,-0.243,-0.073,0.0,0.001,14453.0,5707.0,1.0
mu[2336],-0.133,0.046,-0.221,-0.051,0.0,0.001,15239.0,6016.0,1.0
mu[2337],0.019,0.051,-0.075,0.115,0.0,0.001,15401.0,5741.0,1.0
mu[2338],-0.099,0.046,-0.183,-0.01,0.0,0.001,16018.0,5986.0,1.0
mu[2339],-0.002,0.045,-0.084,0.086,0.0,0.001,15025.0,6859.0,1.0
mu[2340],0.356,0.045,0.27,0.44,0.0,0.001,15253.0,6104.0,1.0
mu[2341],-0.163,0.045,-0.246,-0.079,0.0,0.001,15597.0,6091.0,1.0
mu[2342],0.056,0.045,-0.026,0.141,0.0,0.001,14214.0,6151.0,1.0
mu[2343],-0.007,0.045,-0.093,0.075,0.0,0.001,15403.0,6055.0,1.0
mu[2344],-0.147,0.045,-0.232,-0.065,0.0,0.001,14796.0,6272.0,1.0
mu[2345],-0.199,0.046,-0.289,-0.119,0.0,0.001,14454.0,6136.0,1.0
mu[2346],-0.11,0.045,-0.193,-0.026,0.0,0.0,15378.0,6491.0,1.0
mu[2347],-0.19,0.044,-0.279,-0.114,0.0,0.001,15821.0,5945.0,1.0
mu[2348],-0.028,0.05,-0.121,0.068,0.0,0.001,16201.0,6674.0,1.0
mu[2349],-0.074,0.045,-0.156,0.013,0.0,0.001,14199.0,5570.0,1.0
mu[2350],0.039,0.05,-0.059,0.128,0.0,0.001,15482.0,6987.0,1.0
mu[2351],-0.027,0.045,-0.111,0.06,0.0,0.001,16335.0,6159.0,1.0
mu[2352],0.147,0.045,0.061,0.23,0.0,0.001,16197.0,5709.0,1.0
mu[2353],0.032,0.046,-0.055,0.118,0.0,0.001,16144.0,5876.0,1.0
mu[2354],0.184,0.045,0.102,0.27,0.0,0.001,16755.0,6357.0,1.0
mu[2355],0.02,0.046,-0.066,0.104,0.0,0.001,15341.0,6019.0,1.0
mu[2356],-0.127,0.046,-0.213,-0.041,0.0,0.001,16584.0,6082.0,1.0
mu[2357],0.114,0.051,0.017,0.206,0.0,0.001,15511.0,6310.0,1.0
mu[2358],-0.015,0.045,-0.098,0.07,0.0,0.001,14683.0,6147.0,1.0
mu[2359],-0.137,0.046,-0.224,-0.054,0.0,0.001,12930.0,6217.0,1.0
mu[2360],-0.015,0.045,-0.103,0.069,0.0,0.001,16540.0,5568.0,1.0
mu[2361],0.029,0.045,-0.055,0.113,0.0,0.001,14540.0,6059.0,1.0
mu[2362],0.009,0.045,-0.078,0.091,0.0,0.001,14755.0,6190.0,1.0
mu[2363],0.014,0.045,-0.075,0.093,0.0,0.001,14777.0,5731.0,1.0
mu[2364],-0.05,0.045,-0.138,0.03,0.0,0.001,14320.0,5861.0,1.0
mu[2365],0.024,0.045,-0.062,0.107,0.0,0.001,15855.0,6148.0,1.0
mu[2366],-0.07,0.045,-0.152,0.018,0.0,0.001,14845.0,5547.0,1.0
mu[2367],-0.015,0.046,-0.101,0.07,0.0,0.001,12964.0,5827.0,1.0
mu[2368],0.105,0.046,0.02,0.192,0.0,0.001,15206.0,6503.0,1.0
mu[2369],-0.141,0.045,-0.225,-0.056,0.0,0.001,14962.0,5984.0,1.0
mu[2370],-0.031,0.05,-0.122,0.066,0.0,0.001,15015.0,6064.0,1.0
mu[2371],0.022,0.051,-0.068,0.122,0.0,0.001,14074.0,6398.0,1.0
mu[2372],-0.048,0.045,-0.132,0.037,0.0,0.001,14746.0,5984.0,1.0
mu[2373],0.132,0.046,0.045,0.216,0.0,0.001,13336.0,5625.0,1.0
mu[2374],0.385,0.045,0.301,0.468,0.0,0.001,14620.0,6449.0,1.0
mu[2375],0.139,0.046,0.057,0.227,0.0,0.001,17038.0,5935.0,1.0
mu[2376],-0.058,0.045,-0.146,0.025,0.0,0.001,14564.0,6032.0,1.0
mu[2377],-0.061,0.045,-0.148,0.021,0.0,0.001,14797.0,5633.0,1.0
mu[2378],0.038,0.051,-0.055,0.135,0.0,0.001,14738.0,6402.0,1.0
mu[2379],0.0,0.045,-0.081,0.086,0.0,0.001,14415.0,6286.0,1.0
mu[2380],-0.112,0.045,-0.196,-0.028,0.0,0.001,14905.0,5779.0,1.0
mu[2381],-0.059,0.045,-0.141,0.031,0.0,0.001,15179.0,5704.0,1.0
mu[2382],-0.065,0.046,-0.151,0.02,0.0,0.001,14337.0,5619.0,1.0
mu[2383],-0.125,0.045,-0.208,-0.039,0.0,0.001,13199.0,5856.0,1.0
mu[2384],0.009,0.051,-0.087,0.105,0.0,0.001,15813.0,6365.0,1.0
mu[2385],0.089,0.045,0.001,0.17,0.0,0.001,15766.0,6362.0,1.0
mu[2386],0.03,0.045,-0.051,0.117,0.0,0.001,14846.0,5600.0,1.0
mu[2387],-0.023,0.045,-0.11,0.058,0.0,0.001,14782.0,5914.0,1.0
mu[2388],0.005,0.045,-0.076,0.094,0.0,0.001,14531.0,6121.0,1.0
mu[2389],0.136,0.045,0.05,0.218,0.0,0.001,15102.0,6333.0,1.0
mu[2390],-0.023,0.045,-0.11,0.058,0.0,0.001,15521.0,6199.0,1.0
