sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7,celltype_8,celltype_9,celltype_10,celltype_11,celltype_12,celltype_13,celltype_14,celltype_15,celltype_16,celltype_17,celltype_18,celltype_19
10,0.11927668047723304,0.20889007685308997,0.035569968965181845,-0.024762574019844046,0.19206089476578367,-0.318730280033996,0.18514264730445334,0.14839354810838343,0.015912202597574934,-0.06628816874298027,0.03768038976731663,-0.14677044424167135,-0.027581185882818784,-0.19845542401774177,-0.08812661912153355,0.06904290416414759,0.11314923978447482,-0.06522437343719412,-0.008385771844642339,-0.09514738894919389
11,0.09413536446631238,0.23219621797694284,0.039123467440539336,-0.012533574316721082,0.14861256480933585,-0.29126422110304845,0.07837873929665141,0.04507376364385825,0.02683078225261989,-0.055159933516341235,0.03719307544788273,-0.12811294787553462,0.14478734538732144,-0.26159274010176253,-0.10783291707089622,0.07582813988222832,0.14045639225939,-0.019484336923481976,-0.011083518178025565,-0.1260029794611288
12,0.07508365492672339,0.28318528593688236,0.076126834350457,0.02510202136726608,0.28349799641274015,-0.218743057188208,0.1688925805465047,-0.02432817764566194,0.0267917811843676,0.07551012082196269,0.10218934516302032,-0.11256207227253036,-0.23225226317994946,0.11851718182083848,-0.050530517273564224,0.07649828048623397,0.1191199526989447,0.02344086481644783,0.04886291613493397,-0.07412365231127575
13,0.10473830730085378,0.2780737658668485,0.10920058692239086,0.031011384069376764,0.25977102439449606,-0.23498446936630596,0.12154751027832757,0.11970194735683921,0.08696299108166358,-0.02290371170993956,0.10738470142672762,-0.11546201402942777,0.05788700872707198,-0.02163038909603487,-0.038624708688119194,0.10823863411288333,0.1428501508532989,0.057480734881874024,-0.036286479316288575,-0.07747076647521886
14,0.16916350410564993,0.26170158641245045,0.0593258468747093,0.03921761172948395,0.2759444231828154,-0.24336310924308593,0.11971833089816564,0.0023386592566989636,0.04334853618058708,0.0323456930578457,0.10295802299774001,-0.05168003186813151,0.01060633074546563,-0.24402411063981722,-0.07462284042910147,0.04814299296307245,0.15985603913069635,0.044110090274019575,0.0710635547851728,-0.05691684943376533
15,0.12598178073702151,0.3078678492227637,0.09204236238253666,0.0447609302784973,0.27646776841813475,-0.26490787472428384,-0.03464705677759882,0.1764969824174235,0.07135710490789941,0.026458723328007316,0.06883232906660668,-0.06434862637723639,0.09115205280523359,-0.036677458163369724,-0.06788964199838173,0.06263421315000903,0.1415118147604936,0.019174708974133557,0.0020612267853768445,-0.07515518162586243
16,0.15381823557391022,0.3135155720177368,0.08496406872475537,0.04305367910778632,0.2599380771919189,-0.3240787309700843,0.09486181646662814,0.2662988594890824,0.0939811351617251,0.00950950175849109,0.10494595136553239,-0.09806847634070644,0.05349064072031137,-0.07170278758557316,0.026236478907423262,0.05990181071436522,0.14925937426769476,-0.0024367009502995374,-0.004311364233943363,-0.05812462191327335
17,0.17505533522616304,0.2901189814649094,0.06632606535009389,0.04031889000511203,0.33100872535191483,-0.25366798284494424,0.010837401390512869,0.11345865410200609,0.08356653691141996,0.08608471139683534,0.10901106767287284,-0.057047863919704976,0.027366844798678392,-0.2742896477089349,-0.06004156957551017,0.13885958932801365,0.15238755754165914,0.0173965599866397,-0.0656990251227532,-0.102037317595913
18,0.029921340604877666,0.25344220424637476,0.055312779360222886,0.020732485958465274,0.1999596136774034,-0.237543699226687,0.17964462663893085,-0.17023782103708326,-0.02495594950062631,-0.03062158420526291,0.08641740022896352,-0.1769246943013466,0.01674760714837752,-0.40300557194753944,-0.1272277711468969,-0.07352362314020383,0.13846471614695233,-0.006519099615351421,0.1523509354939454,-0.10330203655898211
19,0.1337448129121337,0.2316573951432043,0.021091221234519685,-0.01588560425297309,0.29285494975556187,-0.32793213451126507,-0.14229373890829747,0.10897998403029942,-0.0009550049332919685,-0.04675485778009484,0.051572040686415514,-0.12879410236546154,-0.18191592983228377,0.32622389194285295,-0.08330312648817167,0.021239189040922427,0.0867748142443943,-0.02640441894262327,-0.10126752104971534,-0.12671841116539703
