,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[2126],-0.205,0.06,-0.32,-0.095,0.0,0.001,17213.0,6235.0,1.0
mu[2127],0.267,0.061,0.157,0.382,0.001,0.001,13890.0,6328.0,1.0
mu[2128],-0.137,0.06,-0.25,-0.024,0.0,0.001,16896.0,6103.0,1.0
mu[2129],-0.022,0.06,-0.137,0.088,0.0,0.001,17696.0,5844.0,1.0
mu[2130],0.318,0.071,0.179,0.446,0.001,0.001,11924.0,6837.0,1.0
mu[2131],0.045,0.061,-0.071,0.156,0.001,0.001,13627.0,6269.0,1.0
mu[2132],0.256,0.06,0.138,0.366,0.001,0.001,13655.0,5699.0,1.0
mu[2133],-0.02,0.06,-0.134,0.089,0.0,0.001,15493.0,5466.0,1.0
mu[2134],0.09,0.061,-0.022,0.205,0.001,0.001,12816.0,5867.0,1.0
mu[2135],0.646,0.061,0.533,0.761,0.001,0.001,10472.0,6242.0,1.0
mu[2136],-0.063,0.06,-0.178,0.046,0.001,0.001,13197.0,5742.0,1.0
mu[2137],-0.222,0.06,-0.333,-0.107,0.0,0.001,16518.0,6469.0,1.0
mu[2138],-0.035,0.061,-0.147,0.077,0.0,0.001,15707.0,6646.0,1.0
mu[2139],-0.305,0.06,-0.417,-0.19,0.0,0.001,17009.0,6498.0,1.0
mu[2140],0.125,0.071,-0.014,0.253,0.001,0.001,12824.0,6746.0,1.0
mu[2141],-0.233,0.06,-0.35,-0.125,0.0,0.001,16361.0,6342.0,1.0
mu[2142],-0.423,0.061,-0.53,-0.304,0.0,0.001,15803.0,6188.0,1.0
mu[2143],-0.428,0.06,-0.54,-0.315,0.001,0.001,11686.0,5727.0,1.0
mu[2144],0.31,0.06,0.199,0.422,0.0,0.001,14396.0,5995.0,1.0
mu[2145],-0.016,0.059,-0.129,0.092,0.0,0.001,16193.0,6645.0,1.0
mu[2146],-0.593,0.061,-0.707,-0.478,0.001,0.001,11390.0,6616.0,1.0
mu[2147],-0.269,0.061,-0.389,-0.162,0.001,0.001,12882.0,6120.0,1.0
mu[2148],-0.14,0.06,-0.253,-0.028,0.0,0.001,16627.0,6609.0,1.0
mu[2149],-0.141,0.06,-0.253,-0.032,0.001,0.001,12542.0,6387.0,1.0
mu[2150],-0.464,0.071,-0.595,-0.329,0.001,0.001,11573.0,6945.0,1.0
mu[2151],-0.142,0.06,-0.26,-0.035,0.0,0.001,17584.0,6567.0,1.0
mu[2152],-0.205,0.061,-0.316,-0.089,0.0,0.001,17409.0,6777.0,1.0
mu[2153],-0.269,0.061,-0.386,-0.159,0.001,0.001,12206.0,6122.0,1.0
mu[2154],-0.731,0.059,-0.848,-0.623,0.0,0.001,14119.0,6170.0,1.0
mu[2155],-0.296,0.061,-0.409,-0.182,0.0,0.001,17281.0,6089.0,1.0
mu[2156],0.119,0.06,0.005,0.232,0.0,0.001,16053.0,5705.0,1.0
mu[2157],0.014,0.061,-0.096,0.132,0.0,0.001,16875.0,6184.0,1.0
mu[2158],-0.807,0.06,-0.922,-0.699,0.001,0.001,13843.0,6606.0,1.0
mu[2159],0.146,0.062,0.033,0.265,0.001,0.001,12797.0,6424.0,1.0
mu[2160],0.143,0.061,0.022,0.252,0.001,0.001,13484.0,6179.0,1.0
mu[2161],0.03,0.072,-0.113,0.159,0.001,0.001,11466.0,6328.0,1.0
mu[2162],-0.224,0.06,-0.333,-0.108,0.0,0.001,16586.0,5619.0,1.0
mu[2163],-0.252,0.061,-0.366,-0.139,0.001,0.001,14758.0,5920.0,1.0
mu[2164],-0.007,0.061,-0.125,0.106,0.001,0.001,13614.0,5697.0,1.0
mu[2165],-0.036,0.061,-0.152,0.077,0.001,0.001,13736.0,6672.0,1.0
mu[2166],0.007,0.061,-0.11,0.12,0.001,0.001,13628.0,6314.0,1.0
mu[2167],-0.393,0.062,-0.51,-0.278,0.001,0.001,15255.0,6163.0,1.0
mu[2168],-0.259,0.061,-0.374,-0.145,0.0,0.001,16021.0,5808.0,1.0
mu[2169],0.184,0.061,0.065,0.296,0.001,0.001,12808.0,5951.0,1.0
mu[2170],0.194,0.061,0.08,0.309,0.001,0.001,13658.0,6542.0,1.0
mu[2171],0.057,0.072,-0.084,0.187,0.001,0.001,11929.0,6086.0,1.0
mu[2172],0.083,0.062,-0.032,0.199,0.001,0.001,13131.0,5935.0,1.0
mu[2173],-0.203,0.061,-0.318,-0.087,0.001,0.001,13436.0,6635.0,1.0
mu[2174],0.039,0.062,-0.078,0.154,0.001,0.001,13201.0,6339.0,1.0
mu[2175],-0.173,0.062,-0.29,-0.055,0.001,0.001,13419.0,5784.0,1.0
mu[2176],-0.452,0.062,-0.569,-0.337,0.0,0.001,15439.0,5734.0,1.0
mu[2177],-0.123,0.072,-0.252,0.021,0.001,0.001,11911.0,6441.0,1.0
mu[2178],-0.272,0.061,-0.39,-0.159,0.0,0.001,15823.0,5510.0,1.0
mu[2179],0.024,0.061,-0.088,0.14,0.001,0.001,14049.0,6462.0,1.0
mu[2180],0.01,0.062,-0.11,0.125,0.001,0.001,14754.0,6052.0,1.0
mu[2181],0.054,0.061,-0.061,0.172,0.001,0.001,13321.0,6717.0,1.0
mu[2182],0.226,0.071,0.09,0.357,0.001,0.001,11312.0,6886.0,1.0
mu[2183],0.148,0.062,0.035,0.266,0.001,0.001,13163.0,5956.0,1.0
mu[2184],-0.286,0.062,-0.401,-0.165,0.001,0.001,12701.0,6287.0,1.0
mu[2185],0.13,0.073,-0.004,0.266,0.001,0.001,12426.0,6339.0,1.0
mu[2186],-0.121,0.061,-0.234,-0.005,0.001,0.001,13067.0,5742.0,1.0
mu[2187],-0.02,0.062,-0.135,0.098,0.001,0.001,13260.0,6305.0,1.0
mu[2188],-0.047,0.062,-0.167,0.067,0.001,0.001,12808.0,5890.0,1.0
mu[2189],-0.113,0.072,-0.248,0.022,0.001,0.001,11371.0,7064.0,1.0
mu[2190],-0.059,0.061,-0.174,0.054,0.0,0.001,16097.0,6220.0,1.0
mu[2191],-0.607,0.062,-0.72,-0.49,0.001,0.001,14523.0,5484.0,1.0
mu[2192],0.645,0.062,0.527,0.758,0.001,0.001,11359.0,6331.0,1.0
