sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7,celltype_8,celltype_9,celltype_10,celltype_11,celltype_12,celltype_13
67,-0.11556957285030196,0.0027342198622060106,0.051263943646990724,0.03449794520157264,0.004929853686465841,-0.014215596356156473,0.11498672397807,-0.006903264412053717,-0.09387332400761263,0.03868971896215824,0.020383118944332056,-0.007098900766205901,0.03797449298616673,0.029697371291325294
68,-0.13155487715842126,0.0066350818536455814,0.048241703571061764,0.03968279926824935,-0.0016407990999153894,0.02755935738789348,-0.08065844264344757,-0.01446854690268455,-0.19797830383133935,0.0162233482193684,0.0237239523474057,0.013791411577598191,0.02781896897139513,0.001169010470972315
69,-0.13665783043789573,-0.010084466574574878,0.04760763281724166,0.028820192483488643,0.0033689194092361087,0.011477306882798627,0.09296036498421985,0.05602629618678467,-0.03897446393058181,0.020320006770184276,0.02140356014549451,0.001629177546506372,0.03636066216618273,-0.013449497700530964
70,-0.11875044182450765,0.049079380956465496,0.04251659573469464,0.037898142802425414,-0.014694865909154512,0.05881533384280063,0.0006926522871787467,0.021998627132080936,0.0011375500866727221,0.025524943675137652,0.013985226007744121,-0.017945419701005803,0.017016897107671368,0.006358971514235254
71,-0.16425220864093537,0.004498745776658206,0.015682133415161392,0.004977871372601548,-0.038382951208001045,0.03830749658942331,-0.014061381806452368,-0.15914300133056739,0.1424935901916696,-0.0012419834750477055,0.007589375141725389,-0.01802013115667984,0.011711684234432838,-0.13500883225100044
72,-0.14115463861421906,0.02417718893174464,0.020894706200150857,0.008731745804501966,-0.004104309036493111,0.013608341484134924,-0.0026953428671371684,0.0740535959515418,0.0633375303187969,0.0007709844783109835,-0.022740231687485964,-0.061368877636600365,0.002533123111131708,-0.023225063231620924
73,-0.15425852829280098,0.0020405203242876598,0.026415815884217736,0.016194829003281654,-0.03955937221480273,-0.03587286130543218,-0.20927736982317263,0.06671866958764472,-0.03762162862979772,-0.0028010866063745087,0.012068600833494786,-0.026338945844473976,0.010434962502817235,-0.011652644573019746
74,-0.16732045347496038,0.000441097064986843,0.020363059741314218,0.01168403272571418,0.0032237335270609473,0.06567756135728019,-0.02037529669541256,-0.21760960376421165,-0.002355120031503195,0.0019958403483078787,-0.016119109360589825,-0.03263775525435212,0.005972845636380098,-0.005973733924765696
75,-0.18938929715568506,0.027201985687295954,0.030117962159904605,0.015863213977206622,-0.0411030461719522,-0.023063704455797952,0.016712112588472657,0.07381089971825858,-0.09311539274136142,-0.001345683963143025,0.009381608840404128,-0.028260929082895844,0.013827373482280548,0.010048461962003874
76,-0.11608266979138471,0.02809353552363674,0.03811386480028402,0.013086843774403655,-0.028025571559884322,0.006996891969671771,-0.05213357267721393,0.06001711170244435,0.00034854492718078343,0.015432038857407397,0.02699605700110924,-0.01502244804789934,0.025626348434309935,0.01823215526853788
77,-0.12016520173191916,0.0550346101547494,0.04413394273500001,0.046327479526229294,0.005969033043723352,0.03046349422992241,-0.012471152616300324,0.1476819498339442,0.020952293114378732,0.013346060178217411,0.01734115389562582,-0.0015822382499095329,0.03371685540769873,0.03622997631426769
78,-0.21389266727274397,0.0104767771973569,0.039478924425371646,0.011117951204248949,-0.009235738721057719,0.0089880702729753,0.0561835593327503,0.11931650483685347,0.02174359864013139,0.01977317192094258,0.0056715775703642685,0.004582389568887236,0.01973452240918219,0.015450327519734299
79,-0.21753792533208613,0.01874004713770362,0.020815874379270908,0.026532689998454484,-0.001692731652308665,-0.01684324606286796,0.1777608912089003,-0.1846873018358663,0.05283829569807909,0.007362425787249622,-0.0006132242996692821,-0.04692718562749104,0.0023767800861644534,-0.03185816927319113
80,-0.23035600156896352,0.000453252879191859,0.02127696849261349,-0.0017658751679271052,-0.0266711224197766,-0.06360734341278122,-0.13680837981751157,0.044913652676694546,-0.05395939231434706,-0.009602715526468774,-0.0023375978464310635,-0.06805237159141063,0.0124535302777931,-0.012725912583614728
81,-0.13697907204935986,-0.018605150767126013,0.023283768301549147,0.01542952776869259,-0.014418751141744483,-0.08192108247706135,0.14174573432004461,0.2171098660764384,0.06117708518073891,0.009239924537501918,-0.002737920786969927,-0.0544989587559474,0.017715365337211544,-0.020428224985017934
82,-0.1385938672327711,0.024993016725195005,0.029772772505346278,0.013194078573447189,-0.006845472469126366,0.017470874784433127,0.13823042118041956,0.1334298791610408,0.0966964894176847,0.01570964192635817,0.006421020524343215,-0.004744196302072198,0.022414373321944802,-0.048482219981627155
83,-0.11541322662386318,0.0005970853831287732,0.036677145998116466,0.03580000749217313,-0.006971072104169983,0.0521283608920636,0.11039717559484008,-0.015135149441001883,-0.005443169537373161,0.013775765442982271,-0.0009132434666798111,-0.06285328050885092,0.024051444307480293,-0.008023380391183308
84,-0.1444797571030327,0.034136027976577665,0.038659189381925696,0.02110717710582801,-0.003625392914621356,0.01865459428745784,0.13324546656734423,0.12407103690383339,0.1469041012802556,0.020550857343002486,0.018284166785678332,0.007207225562760159,0.026131861307634913,0.01161666057297425
85,-0.13584663245729953,0.07248512808925986,0.04322945697044604,0.02815063413308435,-0.010474311095480974,-0.022673569445418245,0.08652801404477622,0.01694946839983328,0.13084614978117504,0.015195845685040963,0.023020496603502732,-0.02773749294630527,0.03634743915310861,-0.008217200987370362
86,-0.1556937853833592,0.017798693012699724,0.03462861282755683,0.023974777820708063,-0.0032849405214186818,-0.134281805261249,0.12797951346162825,-0.021409551248173883,0.11774841618058922,0.0022025191340386513,0.001002155212262725,-0.014382654864643848,0.014944101027565259,0.04113407859327471
87,-0.09153891137384934,0.04116282597204119,0.03203231967438118,0.027394661058317445,-0.011224347387171285,-0.1450744871331695,0.09836744085495594,0.05221119453993326,-0.019716595519434565,0.01590983161552743,0.008803851825385366,0.012498124522669773,0.017401946238109915,0.01076035609433905
