,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[15460],-0.043,0.046,-0.125,0.045,0.0,0.001,17364.0,5800.0,1.0
mu[15461],-0.015,0.053,-0.115,0.087,0.0,0.001,14705.0,5403.0,1.0
mu[15462],0.024,0.047,-0.062,0.118,0.0,0.001,16029.0,6035.0,1.0
mu[15463],0.047,0.058,-0.065,0.153,0.001,0.001,12982.0,6820.0,1.0
mu[15464],-0.045,0.047,-0.134,0.045,0.0,0.001,17334.0,5531.0,1.0
mu[15465],-0.055,0.057,-0.164,0.048,0.0,0.001,13452.0,6896.0,1.0
mu[15466],0.057,0.043,-0.027,0.135,0.0,0.001,17437.0,5269.0,1.0
mu[15467],0.006,0.044,-0.078,0.088,0.0,0.001,17387.0,5308.0,1.0
mu[15468],0.069,0.051,-0.025,0.168,0.0,0.001,15250.0,6467.0,1.0
mu[15469],-0.052,0.049,-0.149,0.036,0.0,0.001,17248.0,5876.0,1.0
mu[15470],0.093,0.046,0.008,0.178,0.0,0.001,17668.0,5855.0,1.0
mu[15471],-0.057,0.045,-0.147,0.022,0.0,0.001,18885.0,5035.0,1.0
mu[15472],-0.068,0.049,-0.158,0.025,0.0,0.001,15371.0,6511.0,1.0
mu[15473],0.06,0.057,-0.054,0.163,0.001,0.001,13023.0,6504.0,1.0
mu[15474],-0.058,0.053,-0.154,0.042,0.0,0.001,15030.0,6448.0,1.0
mu[15475],-0.091,0.049,-0.186,-0.003,0.0,0.001,15886.0,6133.0,1.0
mu[15476],0.017,0.056,-0.088,0.124,0.0,0.001,13431.0,6606.0,1.0
mu[15477],-0.148,0.045,-0.23,-0.06,0.0,0.001,17146.0,5795.0,1.0
mu[15478],0.232,0.045,0.145,0.316,0.0,0.001,17866.0,5891.0,1.0
mu[15479],0.003,0.047,-0.086,0.09,0.0,0.001,14558.0,5231.0,1.0
mu[15480],0.01,0.05,-0.082,0.105,0.0,0.001,16639.0,5505.0,1.0
mu[15481],-0.082,0.045,-0.168,-0.0,0.0,0.001,18356.0,5762.0,1.0
mu[15482],-0.081,0.044,-0.169,-0.002,0.0,0.001,20207.0,5044.0,1.0
mu[15483],-0.044,0.045,-0.129,0.039,0.0,0.001,17604.0,5890.0,1.0
mu[15484],-0.034,0.045,-0.113,0.054,0.0,0.001,17984.0,5869.0,1.0
mu[15485],-0.186,0.049,-0.277,-0.092,0.0,0.001,15455.0,6614.0,1.0
mu[15486],0.053,0.046,-0.027,0.147,0.0,0.001,16871.0,5566.0,1.0
mu[15487],-0.072,0.045,-0.157,0.01,0.0,0.001,16628.0,5978.0,1.0
mu[15488],-0.105,0.045,-0.193,-0.026,0.0,0.001,15823.0,6201.0,1.0
mu[15489],-0.083,0.054,-0.186,0.017,0.0,0.001,14328.0,6300.0,1.0
mu[15490],-0.045,0.046,-0.128,0.046,0.0,0.001,15278.0,5636.0,1.0
mu[15491],0.046,0.045,-0.037,0.131,0.0,0.001,16168.0,5492.0,1.0
mu[15492],0.095,0.058,-0.019,0.202,0.0,0.001,13869.0,6870.0,1.0
mu[15493],-0.109,0.047,-0.198,-0.022,0.0,0.001,15328.0,5767.0,1.0
mu[15494],-0.048,0.046,-0.135,0.037,0.0,0.001,17892.0,5998.0,1.0
mu[15495],0.034,0.044,-0.054,0.114,0.0,0.001,16170.0,4895.0,1.0
mu[15496],-0.121,0.062,-0.24,-0.005,0.001,0.001,14561.0,7344.0,1.0
mu[15497],-0.026,0.045,-0.109,0.058,0.0,0.001,18425.0,5875.0,1.0
mu[15498],-0.04,0.048,-0.132,0.047,0.0,0.001,17891.0,6068.0,1.0
mu[15499],-0.003,0.045,-0.089,0.079,0.0,0.001,17986.0,5728.0,1.0
mu[15500],-0.059,0.044,-0.142,0.021,0.0,0.001,18307.0,6028.0,1.0
mu[15501],-0.129,0.047,-0.22,-0.045,0.0,0.001,15981.0,6013.0,1.0
mu[15502],-0.028,0.047,-0.116,0.061,0.0,0.001,17572.0,6061.0,1.0
mu[15503],-0.042,0.054,-0.143,0.06,0.0,0.001,14999.0,6262.0,1.0
mu[15504],-0.023,0.048,-0.112,0.069,0.0,0.001,16468.0,6377.0,1.0
mu[15505],-0.137,0.048,-0.22,-0.04,0.0,0.001,15477.0,6276.0,1.0
