sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7
19,0.14100525344248607,0.0245515331051558,-0.08859486767017444,0.05812985564823775,-0.021724000425851625,-0.027287911761642695,-0.010756607287250818,0.06247378662675145
20,0.1236348491379335,-0.018418538512016348,-0.09784008645791929,0.07979430477737805,-0.030881613422755257,-0.021366339716255893,-0.016621545953706945,0.05644318503553938
21,0.137364626657155,0.024039359783038176,-0.08606255778553963,0.053978587843947996,-0.03584911774861172,-0.031105025836677302,-0.012121413424579366,0.06200876470821402
22,0.13883651367635327,0.008782697405127774,-0.09504893691320161,0.07340877437273902,-0.036254448494245986,-0.03721697512511659,-0.014496092513513673,0.0677117301271605
23,0.11655666594243529,0.0019924589991458116,-0.09636111656345062,0.06225334812634512,-0.03201314305791362,-0.022778586101519036,-0.021406503232102733,0.05275958507697279
24,0.12551907856649552,0.0002777110639309203,-0.08361470872080472,0.05393227881153393,-0.04314825971102782,-0.031089790246683305,-0.015679557729254726,0.043382751440409456
25,0.12385951709407571,-0.003094562321087852,-0.11284505703414016,0.04740630451880496,-0.03141898865311273,-0.028493138067368248,-0.03492104751551512,0.0697341904129616
26,0.12197171236893882,-0.016339830725438043,-0.12313361091628054,0.03954733186725167,-0.04059422743100806,-0.03702476288383935,-0.045573707936746075,0.046715537476271156
27,0.10515697243687733,-0.022225597408665417,-0.10784210633402394,0.06708100687632342,-0.044771818547909695,-0.04945647201107365,-0.03313221951125777,0.03870936450634839
28,0.10267221447882692,-0.02141178913769217,-0.10486906871503861,0.039985539518827426,-0.04744024322107708,-0.04216637525777466,-0.03965570591179086,0.02740745255576345
29,0.12886382765104196,-0.005873069455115036,-0.10026883351376148,0.04404899436725124,-0.03422763511269739,-0.03479890283142639,-0.023497624689117702,0.03838096868104133
30,0.1335500900454857,-0.009757814229798916,-0.10714742518133022,0.047453851593099367,-0.04961645811542377,-0.03583959661623607,-0.02215220922523867,0.05706241102384207
31,0.11650768247235833,0.005995278933953979,-0.097300182452339,0.06787142746668694,-0.029761710135593897,-0.021158397011255287,-0.027225198782308543,0.05147764519480426
32,0.09124420704171976,-0.015038991962879023,-0.11286587991342462,0.05278539471195854,-0.04573595291139478,-0.05356493923388731,-0.04843755965921206,0.048626078038867114
33,0.11227791149980584,-0.0025919470465188476,-0.10637216109509838,0.061834814702603484,-0.027215202867776737,-0.04529041845955151,-0.030054795275403452,0.08076165038705048
34,0.09762358686889828,-0.018970807911206637,-0.110532822482226,0.058470175817618764,-0.03963052955009061,-0.056311427781195286,-0.043302838864539145,0.06762546200634699
35,0.1311960749894514,-6.504380344440417e-05,-0.11649926243288287,0.05235371028028909,-0.05030126266347202,-0.019300745079304595,-0.022816285437009108,0.04207772964310182
36,0.14363481359153724,-0.023020981110393537,-0.10888371978534656,0.06593115993830266,-0.04785261209502166,-0.025960393191000034,-0.03031834468077762,0.06707026439539118
37,0.11588573775235479,0.009073788051355957,-0.09786497203932817,0.04760098605559255,-0.02930155259384962,-0.04326869253266538,-0.026176802133881794,0.04076048857631841
38,0.13437131700462787,0.018351871567052935,-0.09854394370402879,0.05892157232194988,-0.0175020523483307,-0.043983938180603505,-0.012759383495725323,0.045666180200967695
39,0.14292793397731934,0.031009482185750774,-0.09874262961595137,0.08190233267364977,-0.018497753299337904,-0.015568232667082682,-0.012343852709489365,0.06345605244235325
40,0.13647614193874327,0.002042539771364688,-0.09080047233431772,0.07146044421810151,-0.025983917976059603,-0.01576381855382213,-0.014088934245472171,0.07641184384583286
41,0.16029358977327562,0.030866571085759045,-0.06554931703776441,0.09071358811781285,0.007822543331740643,0.0009915183677448453,-0.001125297187277133,0.09214004628026363
42,0.17496648424950292,0.04955889897131926,-0.06023146805795858,0.10467895128305768,-0.003913270689095875,0.006542791882535016,0.010736632564938325,0.090499595115577
43,0.14398971369005473,0.012652489079381813,-0.06738408962030559,0.09012711979154964,-0.007498206182846811,-0.0039525359026385066,0.00491524487542163,0.08580044661940066
44,0.17439909337793072,0.038187208104226066,-0.07657817704092262,0.0896929846649821,0.005513114365325446,0.0024546318767373256,0.00514089439019895,0.09004523136694519
45,0.18649715742638429,0.045236006361623934,-0.05652244530697216,0.09789931388925303,0.015526208571236391,0.01120016135635797,0.015555990377875747,0.08531962348087596
46,0.1945153307285151,0.04881796165973795,-0.05079054937058977,0.09619472461625522,0.029869244400535046,0.008726186368327614,0.03011715339030741,0.1004814678220776
47,0.15637120752910505,0.04988294334863597,-0.049414901823507516,0.12093646267132852,-0.008104684838895258,0.030064479554558245,0.03813048773434777,0.11296235037348082
48,0.19211163223788189,0.04240306872421362,-0.061716479798295636,0.11086084840157887,0.023275421002031838,-3.228894551860691e-05,0.0066100459432271285,0.09381880919601598
49,0.1973329617941721,0.038965398770089546,-0.055871655655437454,0.11272304421159939,0.02821385539041342,0.007619271454412022,0.012430313591828421,0.09624436620062549
50,0.1896539422399247,0.0332041787655355,-0.06515119554056191,0.11080910964051437,0.021772939545222966,-0.005679690557627333,0.012056507325627316,0.09501168059878617
51,0.1997102762057596,0.05936713551589383,-0.05406038725424767,0.10615676047474262,0.009287319172096981,0.01317005240019778,0.008445164764686684,0.11866498436903608
52,0.1899505135591777,0.035276348658508094,-0.052537620117476216,0.11486786634578999,0.021421556224051747,0.029936973018813883,0.036546718802587266,0.09391431619214391
53,0.19807511781388296,0.04263537546932221,-0.027324564309412925,0.12898649142205595,0.036435453502053114,0.03859240703439493,0.054959065690089084,0.10047353653160983
54,0.20560299523579442,0.080762279991667,-0.021640151715183607,0.1266689141073299,0.05785019522892451,0.037707304739704205,0.05339584671424596,0.14374121006402954
55,0.18583907206549602,0.0625242850475198,-0.025059541570169114,0.14534471591536333,0.03402033614221568,0.018465723681738277,0.05083866717529518,0.12041917491139137
56,0.22585876146840433,0.09933576964157595,-0.02796878457267595,0.1594688414919063,0.04133386051619811,0.031184993224047514,0.06578491121583682,0.13252553159148417
57,0.21804528609183263,0.07945191346207144,-0.03157481399679741,0.14497169371679164,0.03910031186270372,0.029586597737966472,0.06450636611687831,0.11649657524623785
58,0.20673995511270324,0.04398694947318328,-0.040168994202528015,0.1328124975721923,0.035959419837220945,0.041180838976944315,0.05779690098140491,0.1490863748100735
59,0.19536907767231418,0.07230410994977352,-0.02183574057193023,0.148779927989072,0.02666475614008575,0.0345395156619716,0.06357655581657354,0.1220458609658344
60,0.19523068302475463,0.05943067219236535,-0.044093697164781655,0.11400437663181169,0.039148513845183204,0.0420410876649322,0.027764351717061004,0.12412928871887872
61,0.19754945749563907,0.06900281214533788,-0.04633754878742033,0.1236461997787828,0.027759247865394066,0.03773718403317264,0.05037097289392783,0.12065704396319467
62,0.1872009336527083,0.052242798298077,-0.05407580426509417,0.1328787172254198,0.017806809868352258,0.031639055977826645,0.04196473573763617,0.1284667528945006
63,0.17589183203566375,0.05368902494724759,-0.02756134885331071,0.09661682183084541,-0.004538475269456453,0.006012953072338549,0.02620334849554784,0.07957637114527946
64,0.177050420861759,0.058087355651594286,-0.02791715235055473,0.10778988941349646,0.01074362618439926,0.0142228260973071,0.029787491628028274,0.09630570288432813
65,0.16530047706766648,0.037215382433146656,-0.04950270827452817,0.10612942762437204,0.017093771656434203,-0.007387366667626049,0.02414442753562661,0.12091355407232313
66,0.18223967137767375,0.035445967990029775,-0.0599442680940358,0.11227122376057211,0.0112613561780299,0.03493736395111754,0.019474943537388358,0.08814146610935966
