,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[930],-0.018,0.077,-0.158,0.129,0.001,0.001,14102.0,6088.0,1.0
mu[931],-0.012,0.06,-0.123,0.102,0.0,0.001,14958.0,5995.0,1.0
mu[932],-0.016,0.06,-0.131,0.09,0.0,0.001,15975.0,5948.0,1.0
mu[933],-0.01,0.071,-0.145,0.121,0.001,0.001,13680.0,6356.0,1.0
mu[934],-0.02,0.095,-0.205,0.155,0.001,0.001,13259.0,5902.0,1.0
mu[935],-0.015,0.058,-0.119,0.093,0.0,0.001,16218.0,5606.0,1.0
mu[936],-0.014,0.054,-0.114,0.087,0.0,0.001,16545.0,5842.0,1.0
mu[937],-0.014,0.054,-0.116,0.084,0.0,0.001,16393.0,5805.0,1.0
mu[938],-0.013,0.056,-0.119,0.087,0.0,0.001,15891.0,5488.0,1.0
mu[939],-0.011,0.068,-0.138,0.116,0.001,0.001,13932.0,6256.0,1.0
mu[940],-0.019,0.083,-0.173,0.138,0.001,0.001,13722.0,5883.0,1.0
mu[941],-0.014,0.054,-0.112,0.088,0.0,0.001,16518.0,5861.0,1.0
mu[942],-0.014,0.054,-0.112,0.088,0.0,0.001,16507.0,5861.0,1.0
mu[943],-0.014,0.054,-0.112,0.088,0.0,0.001,16518.0,5861.0,1.0
mu[944],-0.011,0.067,-0.137,0.113,0.001,0.001,14042.0,6347.0,1.0
mu[945],-0.012,0.057,-0.12,0.094,0.0,0.001,15446.0,5713.0,1.0
mu[946],-0.015,0.057,-0.118,0.094,0.0,0.001,16245.0,5658.0,1.0
mu[947],-0.013,0.056,-0.122,0.088,0.0,0.001,15669.0,5650.0,1.0
mu[948],-0.012,0.059,-0.123,0.097,0.0,0.001,15164.0,5954.0,1.0
mu[949],-0.016,0.059,-0.127,0.091,0.0,0.001,16027.0,5842.0,1.0
mu[950],-0.013,0.055,-0.118,0.084,0.0,0.001,16240.0,5800.0,1.0
mu[951],-0.016,0.062,-0.135,0.092,0.0,0.001,15648.0,6065.0,1.0
mu[952],-0.011,0.068,-0.138,0.116,0.001,0.001,13920.0,6243.0,1.0
mu[953],-0.017,0.068,-0.148,0.107,0.001,0.001,14751.0,6164.0,1.0
mu[954],-0.015,0.056,-0.116,0.089,0.0,0.001,16460.0,5983.0,1.0
mu[955],-0.015,0.056,-0.123,0.084,0.0,0.001,16409.0,5983.0,1.0
mu[956],-0.013,0.054,-0.113,0.089,0.0,0.001,16269.0,5856.0,1.0
mu[957],-0.015,0.058,-0.123,0.092,0.0,0.001,16116.0,5777.0,1.0
mu[958],-0.013,0.054,-0.113,0.089,0.0,0.001,16269.0,5856.0,1.0
mu[959],-0.015,0.056,-0.123,0.084,0.0,0.001,16409.0,5983.0,1.0
mu[960],-0.017,0.069,-0.149,0.107,0.001,0.001,14719.0,6164.0,1.0
mu[961],-0.012,0.06,-0.126,0.1,0.0,0.001,14876.0,6090.0,1.0
mu[962],-0.012,0.06,-0.126,0.1,0.0,0.001,14876.0,6090.0,1.0
mu[963],-0.014,0.054,-0.112,0.088,0.0,0.001,16515.0,5861.0,1.0
mu[964],-0.014,0.054,-0.113,0.087,0.0,0.001,16445.0,5864.0,1.0
mu[965],-0.015,0.055,-0.114,0.089,0.0,0.001,16516.0,5891.0,1.0
mu[966],-0.015,0.055,-0.114,0.089,0.0,0.001,16512.0,5890.0,1.0
mu[967],-0.012,0.058,-0.12,0.096,0.0,0.001,15384.0,5802.0,1.0
mu[968],-0.014,0.054,-0.113,0.088,0.0,0.001,16550.0,5775.0,1.0
mu[969],-0.011,0.068,-0.138,0.115,0.001,0.001,13963.0,6308.0,1.0
mu[970],-0.012,0.06,-0.126,0.1,0.0,0.001,14876.0,6090.0,1.0
mu[971],-0.013,0.054,-0.113,0.089,0.0,0.001,16269.0,5856.0,1.0
mu[972],-0.011,0.063,-0.125,0.113,0.001,0.001,14441.0,6040.0,1.0
mu[973],-0.016,0.061,-0.134,0.092,0.0,0.001,15714.0,6009.0,1.0
mu[974],-0.017,0.065,-0.138,0.102,0.001,0.001,15177.0,6265.0,1.0
mu[975],-0.013,0.056,-0.12,0.089,0.0,0.001,15790.0,5568.0,1.0
mu[976],-0.013,0.056,-0.12,0.087,0.0,0.001,15875.0,5489.0,1.0
mu[977],-0.014,0.055,-0.113,0.089,0.0,0.001,16550.0,5852.0,1.0
mu[978],-0.015,0.056,-0.123,0.084,0.0,0.001,16409.0,5983.0,1.0
mu[979],-0.011,0.068,-0.138,0.115,0.001,0.001,13963.0,6308.0,1.0
mu[980],-0.011,0.067,-0.137,0.113,0.001,0.001,14042.0,6347.0,1.0
mu[981],-0.02,0.098,-0.217,0.157,0.001,0.001,13179.0,5856.0,1.0
mu[982],-0.015,0.056,-0.123,0.084,0.0,0.001,16409.0,5983.0,1.0
mu[983],-0.011,0.065,-0.127,0.117,0.001,0.001,14241.0,6354.0,1.0
mu[984],-0.012,0.059,-0.123,0.097,0.0,0.001,15189.0,5931.0,1.0
mu[985],-0.01,0.073,-0.15,0.125,0.001,0.001,13521.0,6347.0,1.0
mu[986],-0.012,0.058,-0.12,0.096,0.0,0.001,15384.0,5802.0,1.0
mu[987],-0.018,0.073,-0.154,0.122,0.001,0.001,14326.0,5969.0,1.0
mu[988],-0.014,0.054,-0.115,0.086,0.0,0.001,16560.0,5840.0,1.0
mu[989],-0.014,0.054,-0.113,0.087,0.0,0.001,16440.0,5864.0,1.0
mu[990],-0.011,0.063,-0.129,0.108,0.001,0.001,14484.0,6137.0,1.0
mu[991],-0.016,0.061,-0.13,0.095,0.0,0.001,15783.0,5962.0,1.0
mu[992],-0.015,0.056,-0.123,0.084,0.0,0.001,16409.0,5983.0,1.0
mu[993],-0.014,0.055,-0.113,0.089,0.0,0.001,16550.0,5852.0,1.0
mu[994],-0.012,0.06,-0.126,0.1,0.0,0.001,14876.0,6090.0,1.0
mu[995],-0.01,0.072,-0.146,0.122,0.001,0.001,13632.0,6321.0,1.0
