,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[27212],0.174,0.057,0.071,0.286,0.0,0.001,19619.0,5669.0,1.0
mu[27213],0.025,0.059,-0.086,0.136,0.0,0.001,19161.0,5018.0,1.0
mu[27214],-0.033,0.058,-0.137,0.08,0.0,0.001,21299.0,5228.0,1.0
mu[27215],0.057,0.061,-0.06,0.171,0.0,0.001,15719.0,6060.0,1.0
mu[27216],-0.011,0.06,-0.128,0.097,0.0,0.001,17613.0,5607.0,1.0
mu[27217],-0.027,0.059,-0.135,0.082,0.0,0.001,18260.0,5321.0,1.0
mu[27218],-0.067,0.058,-0.181,0.039,0.0,0.001,20136.0,5774.0,1.0
mu[27219],-0.231,0.064,-0.351,-0.111,0.001,0.001,14556.0,5971.0,1.0
mu[27220],0.026,0.059,-0.087,0.132,0.0,0.001,19265.0,5161.0,1.0
mu[27221],0.15,0.059,0.041,0.262,0.0,0.001,17850.0,6103.0,1.0
mu[27222],-0.032,0.062,-0.149,0.081,0.0,0.001,15486.0,5884.0,1.0
mu[27223],-0.048,0.069,-0.174,0.083,0.001,0.001,12806.0,7237.0,1.0
mu[27224],0.014,0.059,-0.096,0.124,0.0,0.001,17432.0,5603.0,1.0
mu[27225],0.004,0.059,-0.107,0.113,0.0,0.001,19877.0,5683.0,1.0
mu[27226],-0.188,0.058,-0.302,-0.087,0.0,0.001,18441.0,5503.0,1.0
mu[27227],-0.106,0.058,-0.214,0.004,0.0,0.001,18026.0,5766.0,1.0
mu[27228],-0.16,0.06,-0.271,-0.043,0.001,0.001,14174.0,6060.0,1.0
mu[27229],-0.126,0.065,-0.249,-0.005,0.001,0.001,14468.0,6948.0,1.0
mu[27230],-0.292,0.058,-0.393,-0.173,0.0,0.001,18562.0,5910.0,1.0
mu[27231],0.158,0.058,0.044,0.263,0.0,0.001,18885.0,5679.0,1.0
mu[27232],0.142,0.06,0.032,0.253,0.0,0.001,18163.0,5649.0,1.0
mu[27233],0.029,0.061,-0.088,0.141,0.0,0.001,17305.0,5679.0,1.0
mu[27234],0.075,0.057,-0.029,0.187,0.0,0.001,18439.0,5393.0,1.0
mu[27235],-0.083,0.058,-0.189,0.025,0.0,0.001,18509.0,5792.0,1.0
