Sample,CellType,Signature,Z
C3L-04853,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.0667909866252819
C3N-00198,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.6927314130664217
C3N-00249,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.9209559460827704
C3N-00302,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.3042950182342384
C3N-00303,ADIPOCYTES,ER_Stress_Adaptation_Signature,1.1511344126409977
C3N-00436,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.1583974835657542
C3N-00511,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.6640666383208254
C3N-00512,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.9446316665661302
C3N-00514,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.171447125407499
C3N-00516,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.5265592760697735
C3N-00517,ADIPOCYTES,ER_Stress_Adaptation_Signature,-1.4056381645457092
C3N-00518,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.3098082606398751
C3N-00957,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.0989193793549873
C3N-01011,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.0090459692480007
C3N-01012,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.8683582008889936
C3N-01165,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.7813343232932382
C3N-01167,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.5882964444507445
C3N-01168,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.1744879133934652
C3N-01375,ADIPOCYTES,ER_Stress_Adaptation_Signature,1.0778546210237951
C3N-01380,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.7592628022406546
C3N-01381,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.4436847618028318
C3N-01382,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.1104091858177748
C3N-01383,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.8667094389685446
C3N-01502,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.8852778215183221
C3N-01714,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.7531620650303009
C3N-01715,ADIPOCYTES,ER_Stress_Adaptation_Signature,1.9502955415092325
C3N-01716,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.7497384669938341
C3N-01719,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.5616785135003566
