Sample,CellType,Signature,Z
C3N-03426,B CELLS,Autophagy_Regulation_Signature,-0.7669535704193818
C3N-03428,B CELLS,Autophagy_Regulation_Signature,2.427779718053725
C3N-03440,B CELLS,Autophagy_Regulation_Signature,-0.0851323840456993
C3N-03665,B CELLS,Autophagy_Regulation_Signature,-0.8108705152651229
C3N-03666,B CELLS,Autophagy_Regulation_Signature,-0.5430368529321299
C3N-03670,B CELLS,Autophagy_Regulation_Signature,-0.3130633101937008
C3N-03754,B CELLS,Autophagy_Regulation_Signature,-0.8641768167338484
C3N-03780,B CELLS,Autophagy_Regulation_Signature,-0.7252065998559294
C3N-03839,B CELLS,Autophagy_Regulation_Signature,0.3464182669217783
C3N-03840,B CELLS,Autophagy_Regulation_Signature,0.56474038749874
C3N-03853,B CELLS,Autophagy_Regulation_Signature,-0.6638992104553242
C3N-03884,B CELLS,Autophagy_Regulation_Signature,-1.1715214526566808
C3N-04119,B CELLS,Autophagy_Regulation_Signature,-1.1421758883238196
C3N-04126,B CELLS,Autophagy_Regulation_Signature,0.7134856768281032
C3N-04283,B CELLS,Autophagy_Regulation_Signature,-1.212365196448944
C3N-04284,B CELLS,Autophagy_Regulation_Signature,-1.185763115500929
C3L-00017,B CELLS,Cellular_Stress_Response_Signature,1.7758154395120993
C3L-00102,B CELLS,Cellular_Stress_Response_Signature,0.1528086752083054
C3L-00189,B CELLS,Cellular_Stress_Response_Signature,-0.3529220830136007
C3L-00277,B CELLS,Cellular_Stress_Response_Signature,-0.2018865811541199
C3L-00401,B CELLS,Cellular_Stress_Response_Signature,0.0747366921228023
C3L-00589,B CELLS,Cellular_Stress_Response_Signature,-0.3668881518181169
C3L-00599,B CELLS,Cellular_Stress_Response_Signature,-0.5185662888004879
C3L-00622,B CELLS,Cellular_Stress_Response_Signature,-0.0574782327854281
C3L-00625,B CELLS,Cellular_Stress_Response_Signature,-0.6221640404995811
C3L-00640,B CELLS,Cellular_Stress_Response_Signature,-0.6430672810784916
C3L-00819,B CELLS,Cellular_Stress_Response_Signature,0.4872375284490524
C3L-00881,B CELLS,Cellular_Stress_Response_Signature,1.635065688553167
