Index,Rank,Cell.Interaction,Favorable.Cell.Type,Unfavorable.Cell.Type,No.Total.IMGP,No.Shared.IMGP,Enrichment.Ratio,P.Value,Adjust.P.Value,Permutation.FDR,Shared.IMGP,Total.IMGP
71,71,Cytotoxic_CD56dim NK,Cytotoxic,CD56dim NK,6,5,2.24,0.029462546,0.189051334,0.962816901,KLRB1_KIR2DL3/KLRB1_KIR3DL1/KLRB1_KIR3DL2/KLRB1_GTF3C1/KLRB1_SPON2,KLRB1_KIR3DL2/KLRB1_KIR2DL3/KLRB1_SPON2/GNLY_IL21R/KLRB1_KIR3DL1/KLRB1_GTF3C1
72,71,NK_Tem,NK,Tem,6,5,2.24,0.029462546,0.189051334,0.962816901,SPN_TBC1D5/MCM3AP_EWSR1/LDB3_EWSR1/PRX_TBC1D5/MAPRE3_TBC1D5,TCTN2_CCR2/SPN_TBC1D5/PRX_TBC1D5/MAPRE3_TBC1D5/MCM3AP_EWSR1/LDB3_EWSR1
73,73,Tfh_Tumor,Tfh,Tumor,22,13,1.588,0.030275658,0.191607592,0.943150685,SIRPG_FGF3/SIRPG_TEAD4/ZNF764_FGF3/ZNF764_BAMBI/SIRPG_SLC27A5/PVALB_BAMBI/SIRPG_MFAP2/STK39_ITGB4/TOX_S100A2/PASK_FGF3/KCNK5_S100A2/MYO7A_BAMBI/ST8SIA1_MFAP2,SMAD1_ASPSCR1/SIRPG_IGF2/SIRPG_MFAP2/ST8SIA1_MFAP2/SIRPG_FGF3/PASK_FGF3/ZNF764_FGF3/CHI3L2_S100A2/TOX_S100A2/KCNK5_S100A2/SIRPG_JAG2/MYO7A_BAMBI/PVALB_BAMBI/ZNF764_BAMBI/ICA1_RPP25/STK39_ITGB4/TOX_SLC1A5/ZNF764_SLC1A5/PTPN13_S100A3/SIRPG_TEAD4/SIRPG_SLC27A5/SMAD1_HOXA9
74,74,B_Th2,B,Th2,18,11,1.643,0.033761887,0.210783673,0.960675676,BLNK_SLC39A14/BLNK_SMAD2/COCH_BIRC5/SPIB_SMAD2/BLNK_AHI1/BLK_AHI1/MEF2C_SNRPD1/BLNK_PHEX/BLNK_WDHD1/IGHA1_AHI1/CD19_AHI1,OSBPL10_ADCY1/FCRL2_AHI1/BLK_AHI1/IGHA1_AHI1/CD19_AHI1/BLNK_AHI1/CD19_SNRPD1/MEF2C_SNRPD1/SPIB_MB/BLNK_WDHD1/HLA-DOB_SMAD2/SPIB_SMAD2/BLNK_SMAD2/BLNK_PHEX/BLNK_SLC39A14/MS4A1_BIRC5/CR2_BIRC5/COCH_BIRC5
75,75,DC_Cytotoxic,DC,Cytotoxic,12,8,1.792,0.037064204,0.228315496,1,CCL22_GNLY/CCL17_GZMH/CD209_GNLY/CCL17_NKG7/CCL22_RORA/CCL22_KLRD1/CCL17_APBA2/CCL22_APOL3,NPR1_KLRB1/CCL22_KLRK1/CCL22_KLRD1/CCL22_GNLY/CD209_GNLY/CCL17_NKG7/CCL22_GZMH/CCL17_GZMH/CCL22_RORA/CCL17_RORA/CCL17_APBA2/CCL22_APOL3
76,76,Cytotoxic_NK,Cytotoxic,NK,23,13,1.519,0.046355284,0.281791332,1,KLRB1_NCR1/KLRB1_ALDH1B1/KLRB1_ZNF747/KLRB1_PRX/KLRB1_LDB3/KLRB1_PSMD4/KLRB1_MCM3AP/KLRB1_TCTN2/SIGIRR_SLC30A5/KLRB1_ZNF205/KLRB1_FGF18/KLRB1_CDC5L/KLRB1_PDLIM4,KLRB1_PDLIM4/KLRB1_ZNF747/SIGIRR_SLC30A5/KLRB1_MCM3AP/KLRK1_MCM3AP/KLRB1_CDC5L/KLRB1_FGF18/RUNX3_FGF18/KLRK1_SPN/KLRD1_SPN/GNLY_SPN/KLRB1_PSMD4/KLRB1_PRX/KLRB1_ZNF205/GNLY_BCL2/APBA2_BCL2/KLRB1_TCTN2/GNLY_ADARB1/KLRB1_NCR1/KLRB1_LDB3/KLRD1_LDB3/GNLY_LDB3/KLRB1_ALDH1B1
77,77,DC_aDC,DC,aDC,3,3,2.688,0.051462698,0.29719708,1,CCL17_LAMP3/CCL22_LAMP3/CCL22_OAS3,CCL22_OAS3/CCL22_LAMP3/CCL17_LAMP3
78,77,CD56bright NK_Macrophage,CD56bright NK,Macrophage,3,3,2.688,0.051462698,0.29719708,1,MPPED1_BCAT1/MADD_BCAT1/PLA2G6_BCAT1,PLA2G6_BCAT1/MPPED1_BCAT1/MADD_BCAT1
79,77,Tgd_Macrophage,Tgd,Macrophage,3,3,2.688,0.051462698,0.29719708,1,CD160_BCAT1/TRGV9_BCAT1/FEZ1_BCAT1,TRGV9_BCAT1/CD160_BCAT1/FEZ1_BCAT1
80,77,Tfh_Tgd,Tfh,Tgd,3,3,2.688,0.051462698,0.29719708,1,SIRPG_FEZ1/ZNF764_CD160/ST8SIA1_FEZ1,ZNF764_CD160/SIRPG_FEZ1/ST8SIA1_FEZ1
